RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,LicenseIssuedDate,LicenseExpiredDate,Extract Year
56764,CHARLIE,M,2015,American Bully,,11201,2/27/18,3/6/19,2018
57029,DOLLY,F,2012,Dachshund Crossbreed,,11201,2/28/18,4/18/19,2018
57180,NA,F,2017,Shih Tzu,,11201,2/28/18,2/28/19,2018
57220,CHARLI,F,2018,Goldendoodle,,11201,3/1/18,3/1/19,2018
57230,LUDO,M,2013,Cavalier King Charles Spaniel,,11201,3/1/18,3/1/19,2018
57362,GUSTAV,M,2006,Pug,,11201,3/1/18,2/28/19,2018
57427,WILLY,M,2014,Wheaton Terrier,,11201,3/2/18,2/18/19,2018
57466,JAKE,M,2016,Golden Retriever,,11201,3/2/18,3/6/23,2018
57686,BISCUIT,M,2013,Greyhound,,11201,3/3/18,3/3/23,2018
57754,DAISY,F,2017,Goldendoodle,,11201,3/3/18,4/30/19,2018
57852,KOSAR,M,2013,Goldendoodle,,11201,3/4/18,3/4/19,2018
57957,NIXON,M,2010,Labrador Retriever,,11201,3/4/18,3/4/19,2018
57988,MILO,M,2007,Italian Greyhound,,11201,3/5/18,4/30/19,2018
58229,THUMPER,M,2015,"Schnauzer, Miniature",,11201,3/5/18,4/24/19,2018
58244,FREYJA,F,2010,Chihuahua,,11201,3/5/18,4/30/19,2018
58365,COCO,M,2017,Chihuahua Crossbreed,,11201,3/6/18,3/6/19,2018
58414,MILO,M,2016,Boxer,,11201,3/6/18,3/6/20,2018
58472,ERNEST,M,2009,Havanese,,11201,3/6/18,4/27/19,2018
58503,SANDY,F,2006,Labrador Retriever,,11201,3/6/18,4/29/19,2018
58524,APOLLO,M,2016,"Collie, Smooth Coat",,11201,3/6/18,3/6/19,2018
58559,MAYA,F,2009,Miniature Pinscher,,11201,3/6/18,3/23/19,2018
58578,SHASTA,F,2017,Labrador Retriever Crossbreed,,11201,3/6/18,3/19/19,2018
58601,LILLIAN,F,2017,Poodle Crossbreed,,11201,3/6/18,3/6/19,2018
58718,LUCY,F,2013,Bassett Hound,,11201,3/7/18,4/5/22,2018
58850,MAGNOLIA,F,2006,Unknown,,11201,3/8/18,3/31/19,2018
59226,JAKE,M,2016,"Shar-Pei, Chinese",,11201,3/9/18,3/31/19,2018
59233,BRODY,M,2009,Yorkshire Terrier,,11201,3/9/18,3/10/19,2018
59244,LULU,M,2009,Yorkshire Terrier,,11201,3/9/18,3/7/19,2018
59284,HOBO,M,2004,Unknown,,11201,3/9/18,4/30/19,2018
59410,ROCKY,M,2015,Chihuahua Crossbreed,,11201,3/10/18,3/10/20,2018
59479,ROMY,F,2012,Jack Russell Terrier,,11201,3/11/18,3/11/20,2018
59744,STORM,F,2016,American Pit Bull Terrier/Pit Bull,,11201,3/12/18,3/17/19,2018
59770,BRYN,M,2011,"Bull Dog, English",,11201,3/12/18,3/12/19,2018
59831,AQUINNAH,F,2003,Wheaton Terrier,,11201,3/12/18,4/29/19,2018
59837,SCOUT,M,2014,Labradoodle,,11201,3/12/18,4/19/19,2018
59867,GUS,M,2017,Labradoodle,,11201,3/12/18,3/12/19,2018
59873,PRINCESS,F,2016,Rottweiler,,11201,3/13/18,3/13/19,2018
59881,HARU,F,2015,Welsh Terrier,,11201,3/13/18,4/21/19,2018
59936,SMOKE,M,2016,American Pit Bull Mix / Pit Bull Mix,,11201,3/13/18,3/13/19,2018
60265,ANGELA,F,2005,Golden Retriever,,11201,3/14/18,3/29/19,2018
60268,VADER,M,2018,French Bulldog,,11201,3/14/18,3/14/19,2018
60275,KIBO,M,2012,Shiba Inu,,11201,3/14/18,3/14/19,2018
60283,TREX,M,2008,Tibetan Terrier,,11201,3/14/18,3/10/19,2018
60307,RUPERT,M,2015,Terrier Crossbreed,,11201,3/14/18,4/2/19,2018
60309,LOLA,F,2015,American Pit Bull Terrier/Pit Bull,,11201,3/14/18,2/1/21,2018
60311,NUTMEG,M,2017,Pug,,11201,3/14/18,3/14/19,2018
60348,WINSTON,F,2009,Yorkshire Terrier,,11201,3/15/18,3/15/19,2018
60415,MADDY,F,2010,Labrador Retriever Crossbreed,,11201,3/15/18,5/4/19,2018
60423,MARY,F,2009,Wire Fox Terrier,,11201,3/15/18,3/28/19,2018
60509,DUCK,M,2018,Nova Scotia Duck Tolling Retriever,,11201,3/15/18,3/15/19,2018
60598,SILICON,M,2013,Beagle Crossbreed,,11201,3/16/18,6/12/18,2018
60607,BELLE,F,2012,Golden Retriever,,11201,3/16/18,5/7/19,2018
60734,TOOSA,F,2016,Beagle Crossbreed,,11201,3/16/18,3/12/19,2018
60819,SASSY,M,2018,Goldendoodle,,11201,3/17/18,3/17/19,2018
60888,WINNIE,F,2010,Unknown,,11201,3/17/18,4/20/19,2018
60989,WENDY,F,2016,Beagle Crossbreed,,11201,3/18/18,2/12/19,2018
